sourceId,sourceDotNotation,sourceStandard,destinationUrl
4ff47f6a6bb41e469c0be639,2.RL.1, "Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.",?
4ff47f6a6bb41e469c0be64f,4.RL.3, "Describe in depth a character, setting, or event in a story or drama, drawing on specific details in the text (e.g., a character�s thoughts, words, or actions).",?
4ff47f6a6bb41e469c0be65c,5.RL.6, "Describe how a narrator�s or speaker�s point of view influences how events are described.",?
4ff47f6a6bb41e469c0be660,5.RL.10, "By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 4�5 text complexity band independently and proficiently.",?
4ff47f6a6bb41e469c0be678,2.RI.4, "Determine the meaning of words and phrases in a text relevant to a grade 2 topic or subject area.",?
4ff47f6a6bb41e469c0be67f,3.RI.1, "Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",?
4ff47f6a6bb41e469c0be682,3.RI.4, "Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.",?
4ff47f6a6bb41e469c0be689,4.RI.1, "Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.",?
4ff47f6a6bb41e469c0be693,5.RI.1, "Quote accurately from a text when explaining what the text says explicitly and when drawing inferences from the text.",?
4ff47f6a6bb41e469c0be6d8,4.RF.4.a, "Read on-level text with purpose and understanding.",?
4ff47f6a6bb41e469c0be702,3.W.1.c, "Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons.",?
4ff47f6a6bb41e469c0be70e,3.W.4, "With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6a6bb41e469c0be713,3.W.9, "(Begins in grade 4)",?
4ff47f6a6bb41e469c0be71a,4.W.2, "Write informative/explanatory texts to examine a topic and convey ideas and information clearly.",?
4ff47f6a6bb41e469c0be726,4.W.4, "Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be734,5.W.2, "Write informative/explanatory texts to examine a topic and convey ideas and information clearly.",?
4ff47f6b6bb41e469c0be740,5.W.4, "Produce clear and coherent writing in which the development and organization are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be7c1,2.L.4.a, "Use sentence-level context as a clue to the meaning of a word or phrase.",?
4ff47f6b6bb41e469c0be7e0,3.L.4.a, "Use sentence-level context as a clue to the meaning of a word or phrase.",?
4ff47f6b6bb41e469c0be813,6.RL.3, "Describe how a particular story�s or drama�s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.",?
4ff47f6b6bb41e469c0be814,6.RL.4, "Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone.",?
4ff47f6b6bb41e469c0be82a,8.RL.6, "nalyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor.",?
4ff47f6b6bb41e469c0be833,9-10.RL.5, "Analyze how an author�s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",?
4ff47f6b6bb41e469c0be83e,11-12.RL.6, "Analyze a case in which grasping a point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement).",?
4ff47f6b6bb41e469c0be84d,7.RI.1, "Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.",?
4ff47f6b6bb41e469c0be857,8.RI.1, "Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.",?
4ff47f6b6bb41e469c0be85c,8.RI.6, "Determine an author�s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.",?
4ff47f6b6bb41e469c0be887,6.W.3.e, "Provide a conclusion that follows from the narrated experiences or events.",?
4ff47f6b6bb41e469c0be888,6.W.4, "Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1�3 above.)",?
4ff47f6b6bb41e469c0be88e,6.W.9.a, "Apply grade 6 Reading standards to literature (e.g., �Compare and contrast texts in different forms or genres [e.g., stories and poems; historical novels and fantasy stories] in terms of their approaches to similar themes and topics�).",?
4ff47f6b6bb41e469c0be88f,6.W.9.b, "Apply grade 6 Reading standards to literary nonfiction (e.g., �Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not�).",?
4ff47f6c6bb41e469c0be897,7.W.2, "Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",?
4ff47f6c6bb41e469c0be8a0,7.W.3.b, "Use narrative techniques, such as dialogue, pacing, and description, to develop experiences, events, and/or characters.",?
4ff47f6c6bb41e469c0be8a1,7.W.3.c, "Use a variety of transition words, phrases, and clauses to convey sequence and signal shifts from one time frame or setting to another.",?
4ff47f6c6bb41e469c0be8a9,7.W.9, "Draw evidence from literary or informational texts to support analysis, reflection, and research.",?
4ff47f6c6bb41e469c0be8aa,7.W.9.a, "Apply grade 7 Reading standards to literature (e.g., �Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means of understanding how authors of fiction use or alter history�).",?
4ff47f6c6bb41e469c0be8b3,8.W.2, "Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content.",?
4ff47f6c6bb41e469c0be8c5,8.W.9, "Draw evidence from literary or informational texts to support analysis, reflection, and research.",?
4ff47f6c6bb41e469c0be943,7.L.4.a, "Use context (e.g., the overall meaning of a sentence or paragraph; a word�s position or function in a sentence) as a clue to the meaning of a word or phrase.",?
4ff47f6c6bb41e469c0be944,7.L.4.b, "Use common, grade-appropriate Greek or Latin affixes and roots as clues to the meaning of a word (e.g., belligerent, bellicose, rebel).",?
4ff47f6d6bb41e469c0bea16,1.OA.1, "Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.2",?
4ff47f6d6bb41e469c0bea2e,2.OA.1, "Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.1",?
4ff47f6d6bb41e469c0bea2f,2.OA.2, "Fluently add and subtract within 20 using mental strategies.2 By end of Grade 2, know from memory all sums of two one-digit numbers.",?
4ff47f6d6bb41e469c0bea4d,3.OA.4, "Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 _ ? = 48, 5 = ð Ö 3, 6 _ 6 = ?.",?
4ff47f6d6bb41e469c0bea4e,3.OA.5, "Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 _ 4 = 24 is known, then 4 _ 6 = 24 is also known. (Commutative property of multiplication.) 3 _ 5 _ 2 can be found by 3 _ 5 = 15, then 15 _ 2 = 30, or by 5 _ 2 = 10, then 3 _ 10 = 30. (Associative property of multiplication.) Knowing that 8 _ 5 = 40 and 8 _ 2 = 16, one can find 8 _ 7 as 8 _ (5 + 2) = (8 _ 5) + (8 _ 2) = 40 + 16 = 56. (Distributive property.)",?
4ff47f6d6bb41e469c0bea6d,3.G.1, "Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",?
4ff47f6d6bb41e469c0bea74,4.NBT.1, "Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 Ö 70 = 10 by applying concepts of place value and division.",?
4ff47f6d6bb41e469c0bea8b,4.MD.4, "Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection.",?
4ff47f6d6bb41e469c0beaad,5.NF.7.c, "Solve real world problems involving division of unit fractions by non-zero whole numbers and division of whole numbers by unit fractions, e.g., by using visual fraction models and equations to represent the problem. For example, how much chocolate will each person get if 3 people share 1/2 lb of chocolate equally? How many 1/3-cup servings are in 2 cups of raisins?",?
4ff47f6d6bb41e469c0beab6,5.MD.5.b, "Apply the formulas V=l_w_handV=b_h for rectangular prisms to find volumes of right rectangular prisms with whole- number edge lengths in the context of solving real world and mathematical problems.",?
4ff47f6d6bb41e469c0beabc,6.RP.1, "Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities. For example, ÒThe ratio of wings to beaks in the bird house at the zoo was 2:1, because for every 2 wings there was 1 beak.Ó ÒFor every vote candidate A received, candidate C received nearly three votes.Ó",?
4ff47f6d6bb41e469c0beabd,6.RP.2, "Understand the concept of a unit rate a/b associated with a ratio a:b with b =_ 0, and use rate language in the context of a ratio relationship. For example, ÒThis recipe has a ratio of 3 cups of flour to 4 cups of sugar, so there is 3/4 cup of flour for each cup of sugar.Ó ÒWe paid $75 for 15 hamburgers, which is a rate of $5 per hamburger.Ó1",?
4ff47f6d6bb41e469c0beadb,6.EE.7, "Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",?
4ff47f6e6bb41e469c0beafc,7.NS.3, "Solve real-world and mathematical problems involving the four operations with rational numbers.",?
4ff47f6e6bb41e469c0beb02,7.EE.4.b, "Solve word problems leading to inequalities of the form px + q > r or px + q < r, where p, q, and r are specific rational numbers. Graph the solution set of the inequality and interpret it in the context of the problem. For example: As a salesperson, you are paid $50 per week plus $3 per sale. This week you want your pay to be at least $100. Write an inequality for the number of sales you need to make, and describe the solutions.",?
4ff47f6e6bb41e469c0beb26,8.F.2, "Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a linear function represented by a table of values and a linear function represented by an algebraic expression, determine which function has the greater rate of change.",?
4ff47f6e6bb41e469c0beb30,8.G.4, "Understand that a two-dimensional figure is similar to another if the second can be obtained from the first by a sequence of rotations, reflections, translations, and dilations; given two similar two- dimensional figures, describe a sequence that exhibits the similarity between them.",?
4ff47f6e6bb41e469c0bebb2,G.CO.10, "Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180¡; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.",?
4ff47f6e6bb41e469c0bebb3,G.CO.11, "Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals.",?
4ff47f6e6bb41e469c0bebba,G.SRT.3, "Use the properties of similarity transformations to establish the AA criterion for two triangles to be similar.",?
4ff47f6e6bb41e469c0bebbb,G.SRT.4, "Prove theorems about triangles. Theorems include: a line parallel to one side of a triangle divides the other two proportionally, and conversely; the Pythagorean Theorem proved using triangle similarity.",?
